Name,Height,Weight,Position,Height (in.)
Demetrius Jackson,6-1,201.0,G,73
Darius Morris,6-4,190.0,G,76
Josh Smith,6-9,225.0,F,81
Danny Granger,6-9,222.0,F,81
Dennis Schroder,6-1,172.0,G,73
Rudy Gobert,7-1,245.0,C,85
Kendall Marshall,6-4,200.0,G,76
Rasheed Wallace,6-10,225.0,F,82
Randy Foye,6-4,213.0,G,76
Lorenzo Brown,6-5,189.0,G,77
Bobby Portis,6-11,230.0,F,83
Carlos Delfino,6-6,230.0,G,78
Mickell Gladness,6-11,220.0,C,83
Francisco Garcia,6-7,195.0,F,79
Malcolm Brogdon,6-5,215.0,G,77
Joe Young,6-2,180.0,G,74
Rodrigue Beaubois,6-0,170.0,G,72
Shayne Whittington,6-11,250.0,F,83
Jeff Green,6-9,235.0,F,81
Gary Neal,6-4,210.0,G,76
Jrue Holiday,6-4,205.0,G,76
Solomon Jones,6-10,230.0,F,82
Semaj Christon,6-3,190.0,G,75
Cliff Alexander,6-8,245.0,F,80
Cody Zeller,7-0,240.0,C,84
Taj Gibson,6-9,225.0,F,81
Cleanthony Early,6-8,210.0,F,80
Maurice Evans,6-5,220.0,G,77
Damien Wilkins,6-6,225.0,F,78
Rudy Fernandez,6-6,185.0,G,78
Tobias Harris,6-9,235.0,F,81
Jeremy Lin,6-3,200.0,G,75
Victor Claver,6-9,224.0,F,81
Jan Vesely,6-11,240.0,F,83
Nemanja Bjelica,6-10,240.0,F,82
Guerschon Yabusele,6-7,260.0,F,79
Brian Roberts,6-1,173.0,G,73
Brandon Jennings,6-1,170.0,G,73
Thomas Robinson,6-10,237.0,F,82
Frank Ntilikina,6-5,190.0,G,77
Antawn Jamison,6-8,223.0,F,80
Andrea Bargnani,7-0,245.0,F,84
Sergio Rodriguez,6-3,176.0,G,75
Kelly Oubre,6-7,205.0,F,79
Jonathan Isaac,6-10,210.0,F,82
Ersan Ilyasova,6-10,235.0,F,82
Jordan Clarkson,6-5,194.0,G,77
Nerlens Noel,6-11,228.0,C,83
Rodney Carney,6-7,205.0,F,79
Shawn Marion,6-7,220.0,F,79
Pierre Jackson,5-10,180.0,G,70
Chasson Randle,6-2,185.0,G,74
Omri Casspi,6-9,225.0,F,81
Steve Blake,6-3,172.0,G,75
Ekpe Udoh,6-10,240.0,C,82
Linas Kleiza,6-8,245.0,F,80
Marquese Chriss,6-10,233.0,F,82
Justin Anderson,6-6,228.0,G,78
Paul Pierce,6-7,235.0,F,79
Brook Lopez,7-0,275.0,C,84
Dirk Nowitzki,7-0,245.0,F,84
Jarvis Varnado,6-9,230.0,F,81
Kevin Seraphin,6-9,285.0,F,81
Ricky Rubio,6-4,194.0,G,76
Greg Monroe,6-11,265.0,C,83
Jerryd Bayless,6-3,200.0,G,75
Reggie Evans,6-8,245.0,F,80
Jeremy Evans,6-9,200.0,F,81
Ryan Kelly,6-11,230.0,F,83
Joel Embiid,7-0,250.0,C,84
Jeremy Lamb,6-5,185.0,G,77
Jabari Parker,6-8,250.0,F,80
Jordan Williams,6-10,260.0,F,82
Anthony Morrow,6-5,210.0,G,77
Kevon Looney,6-9,220.0,F,81
Monta Ellis,6-3,185.0,G,75
Bruno Caboclo,6-9,218.0,F,81
Paul Millsap,6-8,246.0,F,80
Dennis Horner,6-9,230.0,F,81
Shane Battier,6-8,220.0,F,80
Beno Udrih,6-3,205.0,G,75
Anthony Tolliver,6-8,240.0,F,80
Hasheem Thabeet,7-3,263.0,C,87
Dante Cunningham,6-8,230.0,F,80
Mickael Pietrus,6-6,215.0,G,78
Jared Jeffries,6-11,230.0,F,83
Jamaal Tinsley,6-3,195.0,G,75
Corey Maggette,6-6,218.0,F,78
Avery Bradley,6-2,180.0,G,74
Brandon Knight,6-3,189.0,G,75
Landry Fields,6-7,210.0,F,79
Lavoy Allen,6-9,260.0,F,81
Jimmy Butler,6-8,236.0,F,80
Archie Goodwin,6-5,200.0,G,77
Derrick Williams,6-8,240.0,F,80
Charlie Villanueva,6-11,232.0,F,83
David Lee,6-9,245.0,F,81
Channing Frye,6-11,255.0,C,83
Johan Petro,7-0,247.0,C,84
Cameron Bairstow,6-9,250.0,F,81
Ben Simmons,6-10,230.0,G,82
Allen Crabbe,6-6,210.0,G,78
Ben Gordon,6-3,200.0,G,75
Al Harrington,6-9,230.0,F,81
Klay Thompson,6-7,215.0,G,79
George Hill,6-3,188.0,G,75
Leandro Barbosa,6-3,194.0,G,75
Shelvin Mack,6-3,203.0,G,75
Quincy Pondexter,6-7,220.0,G,79
Trevor Ariza,6-8,215.0,F,80
Josh Richardson,6-6,200.0,G,78
Ronny Turiaf,6-10,249.0,F,82
Shawne Williams,6-9,225.0,F,81
Kyle Korver,6-7,212.0,G,79
Drew Gooden,6-10,250.0,F,82
Pat Connaughton,6-5,206.0,G,77
Semih Erden,7-0,240.0,C,84
Vitor Faverani,6-11,260.0,C,83
Tyler Lydon,6-10,215.0,F,82
Jordan Bell,6-9,224.0,F,81
Jon Brockman,6-7,255.0,F,79
Nenad Krstic,7-0,240.0,C,84
Sam Dekker,6-9,230.0,F,81
Troy Williams,6-7,218.0,F,79
Tyler Cavanaugh,6-9,239.0,F,81
Matt Carroll,6-6,212.0,G,78
Chris Paul,6-0,175.0,G,72
Festus Ezeli,6-11,255.0,C,83
Treveon Graham,6-6,220.0,G,78
Nick Collison,6-10,255.0,F,82
Omer Asik,7-0,255.0,C,84
Chris Copeland,6-9,239.0,F,81
Kyrylo Fesenko,7-1,288.0,C,85
Baron Davis,6-3,209.0,G,75
Eric Bledsoe,6-1,205.0,G,73
Jason Williams,6-1,190.0,G,73
Sean Kilpatrick,6-4,210.0,G,76
Martell Webster,6-7,230.0,G,79
Gerald Wallace,6-7,215.0,F,79
Joakim Noah,6-11,230.0,C,83
Luke Harangody,6-8,246.0,F,80
Emmanuel Mudiay,6-5,200.0,G,77
Nikola Mirotic,6-10,220.0,F,82
Marco Belinelli,6-5,210.0,G,77
Darius Miller,6-8,235.0,F,80
Kosta Koufos,7-0,265.0,C,84
Chase Budinger,6-7,209.0,F,79
Marquis Daniels,6-6,200.0,G,78
Boris Diaw,6-8,250.0,F,80
Gary Forbes,6-7,220.0,F,79
Marcus Morris,6-9,235.0,F,81
Stephen Jackson,6-8,218.0,F,80
Joel Anthony,6-9,245.0,C,81
Ronnie Price,6-2,190.0,G,74
Carl Landry,6-9,248.0,F,81
Garrett Temple,6-6,195.0,G,78
Tornike Shengelia,6-9,217.0,F,81
Jonathon Simmons,6-6,195.0,G,78
Damion James,6-7,225.0,G,79
Malik Allen,6-10,255.0,F,82
Pablo Prigioni,6-3,185.0,G,75
Darrell Arthur,6-9,235.0,F,81
Cartier Martin,6-7,220.0,F,79
Yao Ming,7-6,310.0,C,90
Frank Mason,6-0,189.0,G,72
Rudy Gay,6-8,230.0,F,80
Mirza Teletovic,6-9,242.0,F,81
Anthony Davis,6-10,253.0,F,82
Jarrett Jack,6-3,200.0,G,75
Tyler Ennis,6-3,194.0,G,75
Ron Baker,6-4,220.0,G,76
Tony Allen,6-4,213.0,G,76
Chris Duhon,6-1,185.0,G,73
Anthony Randolph,6-10,205.0,F,82
Denzel Valentine,6-6,212.0,G,78
Daniel Ochefu,6-11,245.0,C,83
Marcus Camby,6-11,220.0,C,83
Lucas Nogueira,7-0,241.0,C,84
Pero Antic,6-11,260.0,C,83
Devin Ebanks,6-9,215.0,F,81
Rodney Hood,6-8,206.0,G,80
Al Thornton,6-8,220.0,F,80
Jason Kidd,6-4,205.0,G,76
Julyan Stone,6-6,200.0,G,78
Adreian Payne,6-10,237.0,F,82
Sonny Weems,6-6,205.0,G,78
David Nwaba,6-4,209.0,G,76
Erick Dampier,6-11,265.0,C,83
Cristiano Felicio,6-10,275.0,F,82
Jonas Jerebko,6-10,231.0,F,82
Arron Afflalo,6-5,210.0,G,77
Damien Inglis,6-8,246.0,F,80
Travis Wear,6-10,230.0,F,82
Kristaps Porzingis,7-3,240.0,F,87
Kevin Martin,6-7,199.0,G,79
Kenneth Faried,6-8,228.0,F,80
Nazr Mohammed,6-10,221.0,C,82
Shaun Livingston,6-7,192.0,G,79
Tyler Ulis,5-10,150.0,G,70
Miroslav Raduljica,7-0,250.0,C,84
Davon Reed,6-5,208.0,G,77
Earl Watson,6-1,195.0,G,73
Evan Turner,6-7,220.0,G,79
Chris Kaman,7-0,265.0,C,84
Derek Fisher,6-1,200.0,G,73
Richard Hamilton,6-6,185.0,G,78
Samuel Dalembert,6-11,255.0,C,83
Ramon Sessions,6-3,190.0,G,75
Isaiah Thomas,5-9,185.0,G,69
Henry Walker,6-6,220.0,F,78
Kenyon Martin,6-9,234.0,F,81
Larry Sanders,6-11,235.0,C,83
Will Barton,6-6,175.0,G,78
Joe Harris,6-6,219.0,G,78
Joel Przybilla,7-1,255.0,C,85
Luis Scola,6-9,240.0,F,81
Ivan Rabb,6-10,220.0,F,82
Mustafa Shakur,6-3,190.0,G,75
Reggie Bullock,6-7,205.0,G,79
Kemba Walker,6-1,172.0,G,73
Tyler Johnson,6-4,186.0,G,76
Isaiah Whitehead,6-4,213.0,G,76
Lance Thomas,6-8,235.0,F,80
Robert Covington,6-9,215.0,F,81
John Wallace,6-8,225.0,F,80
Gilbert Arenas,6-3,191.0,G,75
Patrick Beverley,6-1,185.0,G,73
Jimmer Fredette,6-2,195.0,G,74
Royal Ivey,6-3,200.0,G,75
Nate Robinson,5-9,180.0,G,69
Alex Len,7-1,260.0,C,85
Andrew Goudelock,6-3,200.0,G,75
Tony Bradley,6-11,240.0,F,83
Justise Winslow,6-7,225.0,F,79
Tim Ohlbrecht,6-11,255.0,C,83
Robin Lopez,7-0,255.0,C,84
Kendrick Perkins,6-10,270.0,C,82
Dante Exum,6-6,190.0,G,78
Giannis Antetokounmpo,6-11,222.0,F,83
Al Jefferson,6-10,289.0,C,82
Jonas Valanciunas,7-0,265.0,C,84
Markel Brown,6-3,190.0,G,75
Nicolas Batum,6-8,200.0,F,80
Kevin Garnett,6-11,240.0,F,83
Serge Ibaka,6-10,235.0,F,82
Steve Nash,6-3,195.0,G,75
Ryan Hollins,7-0,240.0,C,84
Jason Collins,7-0,255.0,C,84
Dion Waiters,6-4,225.0,G,76
Jeremy Tyler,6-10,260.0,C,82
Dewayne Dedmon,7-0,245.0,C,84
Ben Uzoh,6-3,205.0,G,75
Terrance Ferguson,6-7,184.0,G,79
Steve Novak,6-10,225.0,F,82
Henry Ellenson,6-11,245.0,F,83
Eric Gordon,6-4,215.0,G,76
Brandon Paul,6-4,200.0,G,76
Jerry Stackhouse,6-6,218.0,G,78
Rodney Stuckey,6-5,210.0,G,77
Josh Hart,6-5,209.0,G,77
Ivica Zubac,7-1,265.0,C,85
Duje Dukan,6-9,220.0,F,81
Alex Abrines,6-6,190.0,G,78
Darrun Hilliard,6-6,205.0,G,78
Rashard Lewis,6-10,215.0,F,82
Eric Maynor,6-3,175.0,G,75
Alan Williams,6-8,260.0,F,80
Meyers Leonard,7-1,245.0,C,85
Richaun Holmes,6-10,245.0,F,82
Chauncey Billups,6-3,202.0,G,75
Brandon Roy,6-6,215.0,G,78
Steven Adams,7-0,255.0,C,84
Luke Kennard,6-6,206.0,G,78
Kwame Brown,6-11,270.0,F,83
Kyle Kuzma,6-9,220.0,F,81
Terrence Jones,6-9,252.0,F,81
Sergey Karasev,6-7,208.0,G,79
Andrew Bogut,7-0,260.0,C,84
Marcin Gortat,6-11,240.0,C,83
Jason Maxiell,6-7,260.0,F,79
Roy Hibbert,7-2,270.0,C,86
Damyean Dotson,6-6,205.0,G,78
Jordan Adams,6-5,209.0,G,77
Ike Anigbogu,6-10,252.0,F,82
Danny Green,6-6,215.0,G,78
Jordan Farmar,6-2,180.0,G,74
Jae Crowder,6-6,235.0,F,78
Nik Stauskas,6-6,205.0,G,78
Arnett Moultrie,6-11,249.0,F,83
Jerami Grant,6-8,210.0,F,80
Ty Lawson,5-11,195.0,G,71
Furkan Aldemir,6-10,240.0,F,82
Terrence Ross,6-7,206.0,F,79
Carmelo Anthony,6-8,240.0,F,80
Elliot Williams,6-5,190.0,G,77
Rashad Vaughn,6-6,202.0,G,78
Joe Johnson,6-7,240.0,G,79
Dan Gadzuric,6-11,240.0,C,83
Wilson Chandler,6-8,225.0,F,80
Ben Wallace,6-9,240.0,F,81
Trey Burke,6-1,191.0,G,73
Josh Harrellson,6-10,275.0,C,82
Peyton Siva,6-0,185.0,G,72
Al Horford,6-10,245.0,C,82
Russell Westbrook,6-3,200.0,G,75
Jaylen Morris,6-5,185.0,G,77
Shavlik Randolph,6-10,240.0,F,82
Michael Beasley,6-9,235.0,F,81
Luther Head,6-3,185.0,G,75
Elton Brand,6-8,275.0,F,80
Kobe Bryant,6-6,212.0,G,78
Cedi Osman,6-8,210.0,F,80
Jordan Crawford,6-4,195.0,G,76
Joey Graham,6-7,225.0,F,79
Montrezl Harrell,6-8,240.0,F,80
Mike Miller,6-8,218.0,F,80
Joey Dorsey,6-8,268.0,F,80
Richard Jefferson,6-7,233.0,F,79
Josh Childress,6-8,210.0,G,80
Jason Smith,7-0,245.0,F,84
Tim Duncan,6-11,250.0,F,83
Damian Lillard,6-3,195.0,G,75
Ian Mahinmi,6-11,250.0,C,83
Julius Randle,6-9,250.0,F,81
Donald Sloan,6-3,205.0,G,75
Paul Zipser,6-8,215.0,G,80
Eric Moreland,6-10,238.0,F,82
Daniel Orton,6-10,255.0,C,82
Aaron Gordon,6-9,220.0,F,81
James Young,6-6,215.0,G,78
Jannero Pargo,6-1,175.0,G,73
Tim Quarterman,6-6,195.0,G,78
Tony Battie,6-11,230.0,C,83
Patrick Patterson,6-9,230.0,F,81
Kris Dunn,6-4,210.0,G,76
Clint Capela,6-10,240.0,C,82
Tony Snell,6-7,200.0,G,79
Malcolm Delaney,6-3,190.0,G,75
Chandler Parsons,6-10,230.0,F,82
Vladimir Radmanovic,6-10,227.0,F,82
John Henson,6-11,229.0,C,83
Sean Marks,6-10,250.0,F,82
Zach Collins,7-0,232.0,C,84
Deron Williams,6-3,200.0,G,75
Lamar Odom,6-10,220.0,F,82
Brandon Davies,6-10,240.0,F,82
James Ennis,6-7,210.0,F,79
Dwyane Wade,6-4,220.0,G,76
Anthony Parker,6-6,215.0,G,78
Andrew Nicholson,6-9,250.0,F,81
Malik Beasley,6-5,196.0,G,77
Delon Wright,6-5,183.0,G,77
Eduardo Najera,6-8,240.0,F,80
Marc Gasol,7-1,255.0,C,85
Shelden Williams,6-9,250.0,F,81
Andre Iguodala,6-6,215.0,G,78
Caron Butler,6-7,228.0,F,79
Tarik Black,6-9,250.0,C,81
Lonzo Ball,6-6,190.0,G,78
Vince Carter,6-6,220.0,G,78
Derrick Brown,6-7,225.0,F,79
Andres Nocioni,6-7,225.0,F,79
Gustavo Ayon,6-10,250.0,C,82
Troy Daniels,6-4,205.0,G,76
Timofey Mozgov,7-1,275.0,C,85
Aron Baynes,6-10,260.0,C,82
Dwight Powell,6-11,240.0,F,83
Sebastian Telfair,6-0,165.0,G,72
Kevin Durant,6-9,240.0,F,81
Stephen Curry,6-3,190.0,G,75
Jared Cunningham,6-4,195.0,G,76
Ivan Johnson,6-8,230.0,F,80
Cole Aldrich,6-11,250.0,C,83
Markieff Morris,6-10,245.0,F,82
Danuel House,6-7,207.0,G,79
Bogdan Bogdanovic,6-6,205.0,G,78
Jahlil Okafor,6-11,275.0,C,83
Spencer Hawes,7-1,245.0,C,85
Daniel Gibson,6-2,190.0,G,74
Alonzo Gee,6-6,225.0,G,78
Zach Randolph,6-9,260.0,F,81
Willie Green,6-4,200.0,G,76
Ryan Gomes,6-7,250.0,F,79
Draymond Green,6-7,230.0,F,79
Chris Wilcox,6-10,221.0,F,82
Andre Roberson,6-7,210.0,G,79
Joe Ingles,6-8,226.0,F,80
Damjan Rudez,6-10,228.0,F,82
Andrew Wiggins,6-8,199.0,F,80
Tyronn Lue,6-0,175.0,G,72
Kyle Lowry,6-0,205.0,G,72
Donte Greene,6-11,226.0,F,83
Jose Calderon,6-3,200.0,G,75
Kyrie Irving,6-3,193.0,G,75
Salah Mejri,7-1,245.0,C,85
Danilo Gallinari,6-10,225.0,F,82
Jordan Hill,6-10,235.0,C,82
Brendan Haywood,7-0,268.0,C,84
Marcus Smart,6-4,220.0,G,76
Erick Green,6-4,185.0,G,76
Jeff Foster,6-11,236.0,F,83
Devin Harris,6-3,192.0,G,75
Nate Wolters,6-4,190.0,G,76
Hassan Whiteside,7-0,265.0,C,84
Frank Kaminsky,7-0,242.0,F,84
Paul George,6-9,220.0,F,81
Marvin Williams,6-9,237.0,F,81
Dwight Buycks,6-3,190.0,G,75
Dario Saric,6-10,223.0,F,82
Raja Bell,6-5,204.0,G,77
Shabazz Napier,6-1,175.0,G,73
Harrison Barnes,6-8,210.0,F,80
Kent Bazemore,6-5,201.0,G,77
Gorgui Dieng,6-11,241.0,C,83
Kelly Olynyk,7-0,238.0,C,84
Victor Oladipo,6-4,210.0,G,76
Tyson Chandler,7-1,240.0,C,85
Shane Larkin,5-11,175.0,G,71
Will Bynum,6-0,185.0,G,72
Dejounte Murray,6-5,170.0,G,77
Diamond Stone,6-11,255.0,C,83
Mike Scott,6-8,237.0,F,80
Dexter Pittman,6-11,308.0,C,83
Doron Lamb,6-4,210.0,G,76
Brandon Ingram,6-9,190.0,F,81
Dominique Jones,6-4,215.0,G,76
Quincy Acy,6-7,240.0,F,79
Kyle Singler,6-8,228.0,F,80
Reggie Williams,6-6,205.0,F,78
Nolan Smith,6-2,185.0,G,74
Furkan Korkmaz,6-7,185.0,G,79
Jawun Evans,6-0,185.0,G,72
Antonio Blakeney,6-4,197.0,G,76
Andrew Harrison,6-6,213.0,G,78
Andrew Bynum,7-0,285.0,C,84
Kostas Papanikolaou,6-8,225.0,F,80
Kris Humphries,6-9,235.0,F,81
Andris Biedrins,6-11,240.0,C,83
Robbie Hummel,6-8,215.0,F,80
Donatas Motiejunas,7-0,222.0,F,84
Bradley Beal,6-5,207.0,G,77
Goran Dragic,6-3,190.0,G,75
Matt Barnes,6-7,226.0,F,79
Phil Pressey,5-11,175.0,G,71
Mike Bibby,6-1,190.0,G,73
Emeka Okafor,6-10,252.0,C,82
Aaron Gray,7-0,270.0,C,84
John Salmons,6-7,210.0,G,79
Trevor Booker,6-8,228.0,F,80
Hollis Thompson,6-8,206.0,G,80
Tristan Thompson,6-9,238.0,F,81
Sam Young,6-6,220.0,F,78
Mario West,6-5,210.0,G,77
Anthony Brown,6-7,210.0,F,79
Anthony Carter,6-1,190.0,G,73
Willie Reed,6-10,220.0,F,82
Tim Frazier,6-1,170.0,G,73
Jodie Meeks,6-4,210.0,G,76
Mason Plumlee,6-11,245.0,C,83
Stanley Johnson,6-7,245.0,F,79
Antonius Cleveland,6-6,195.0,G,78
Gary Harris,6-4,210.0,G,76
Quentin Richardson,6-6,223.0,G,78
Wayne Ellington,6-4,200.0,G,76
Zabian Dowdell,6-3,191.0,G,75
David West,6-9,250.0,F,81
Courtney Lee,6-5,200.0,G,77
Brad Miller,6-11,244.0,C,83
James Anderson,6-6,213.0,G,78
Nikola Vucevic,7-0,260.0,C,84
Alexey Shved,6-6,190.0,G,78
Greg Oden,7-0,250.0,C,84
Lazar Hayward,6-6,225.0,F,78
Nikola Jokic,6-10,250.0,C,82
Juwan Howard,6-9,240.0,F,81
Mario Chalmers,6-2,190.0,G,74
Austin Rivers,6-4,200.0,G,76
Darko Milicic,7-0,250.0,F,84
John Holland,6-5,205.0,G,77
Kirk Hinrich,6-4,190.0,G,76
Bismack Biyombo,6-9,255.0,C,81
Tiago Splitter,6-11,245.0,F,83
Mehmet Okur,6-11,249.0,C,83
Gal Mekel,6-3,191.0,G,75
Darren Collison,6-0,175.0,G,72
Craig Smith,6-7,250.0,F,79
Acie Law,6-3,195.0,G,75
Tyus Jones,6-2,195.0,G,74
Tyler Honeycutt,6-8,188.0,F,80
Christian Eyenga,6-5,210.0,F,77
Cory Joseph,6-3,193.0,G,75
Tyreke Evans,6-6,220.0,G,78
Bojan Bogdanovic,6-8,216.0,G,80
Gani Lawal,6-9,234.0,F,81
Dragan Bender,7-1,225.0,F,85
Jaylen Brown,6-7,225.0,F,79
Enes Kanter,6-11,245.0,C,83
Christian Wood,6-11,220.0,F,83
Derrick Favors,6-10,265.0,F,82
Kris Joseph,6-7,210.0,F,79
Andy Rautins,6-4,190.0,G,76
Josh Jackson,6-8,207.0,F,80
Chris Bosh,6-11,235.0,F,83
Keyon Dooling,6-3,196.0,G,75
Chris Andersen,6-10,245.0,F,82
Tyler Zeller,7-0,253.0,F,84
Greg Stiemsma,6-11,260.0,C,83
Carrick Felix,6-6,201.0,G,78
Thabo Sefolosha,6-7,220.0,G,79
Alec Burks,6-6,214.0,G,78
Mike Muscala,6-11,240.0,F,83
Jamal Crawford,6-5,200.0,G,77
Jason Terry,6-2,185.0,G,74
Lance Stephenson,6-5,230.0,G,77
Raymond Felton,6-1,205.0,G,73
Donovan Mitchell,6-3,211.0,G,75
Milos Teodosic,6-5,196.0,G,77
Jason Thompson,6-11,250.0,F,83
Quinton Ross,6-6,195.0,G,78
Terrel Harris,6-5,190.0,G,77
Brandon Rush,6-6,220.0,G,78
Darington Hobson,6-7,210.0,G,79
Skal Labissiere,6-11,225.0,F,83
Von Wafer,6-5,210.0,G,77
Luke Walton,6-8,235.0,F,80
Andrei Kirilenko,6-9,220.0,F,81
Samardo Samuels,6-9,260.0,F,81
Miles Plumlee,6-11,249.0,C,83
Markelle Fultz,6-4,195.0,G,76
Xavier Henry,6-6,220.0,G,78
Anthony Bennett,6-8,245.0,F,80
Alan Anderson,6-6,220.0,G,78
Andre Drummond,6-11,279.0,C,83
Ronnie Brewer,6-7,220.0,G,79
Jordan Mickey,6-8,235.0,F,80
Ryan Anderson,6-10,240.0,F,82
Iman Shumpert,6-5,220.0,G,77
James Harden,6-5,220.0,G,77
Andray Blatche,6-11,235.0,F,83
Aaron Brooks,6-0,161.0,G,72
Tyshawn Taylor,6-3,185.0,G,75
Brandan Wright,6-10,210.0,F,82
Kyle Anderson,6-9,230.0,F,81
Jason Richardson,6-6,220.0,G,78
Jared Dudley,6-7,225.0,F,79
Nikola Pekovic,6-11,307.0,C,83
Fab Melo,7-0,255.0,C,84
Derrick Rose,6-3,190.0,G,75
Ryan Reid,6-8,232.0,F,80
Jared Sullinger,6-9,260.0,F,81
Nick Young,6-7,210.0,G,79
Luke Ridnour,6-2,175.0,G,74
Chinanu Onuaku,6-10,245.0,F,82
Tyrus Thomas,6-9,215.0,F,81
David Andersen,6-11,245.0,C,83
Ray Allen,6-5,205.0,G,77
Daequan Cook,6-5,205.0,G,77
Shabazz Muhammad,6-6,223.0,F,78
Deyonta Davis,6-11,237.0,F,83
Terrence Williams,6-6,220.0,F,78
Chuck Hayes,6-6,240.0,F,78
Khris Middleton,6-8,234.0,F,80
Earl Clark,6-10,225.0,F,82
Spencer Dinwiddie,6-6,200.0,G,78
Jarrett Allen,6-10,234.0,F,82
Derrick Caracter,6-9,275.0,F,81
Brice Johnson,6-10,230.0,F,82
Francisco Elson,7-0,235.0,C,84
Luke Babbitt,6-9,225.0,F,81
Jamal Murray,6-4,207.0,G,76
Glen Davis,6-9,289.0,F,81
Dwight Howard,6-11,265.0,C,83
Keith Bogans,6-5,215.0,G,77
Dorell Wright,6-9,205.0,F,81
Maalik Wayns,6-2,200.0,G,74
Evan Fournier,6-7,205.0,G,79
Tyler Hansbrough,6-9,250.0,F,81
Carlos Boozer,6-9,258.0,F,81
Cory Jefferson,6-9,218.0,F,81
Jon Leuer,6-10,228.0,F,82
Jarell Martin,6-10,239.0,F,82
Okaro White,6-8,204.0,F,80
Michael Gbinije,6-7,200.0,G,79
Melvin Ely,6-10,260.0,C,82
Pau Gasol,7-0,250.0,F,84
Armon Johnson,6-3,195.0,G,75
Seth Curry,6-2,185.0,G,74
Lauri Markkanen,7-0,230.0,F,84
Rajon Rondo,6-1,186.0,G,73
Amir Johnson,6-9,240.0,F,81
Troy Murphy,6-11,245.0,F,83
Chris Singleton,6-8,230.0,F,80
Ian Clark,6-3,175.0,G,75
James Johnson,6-9,250.0,F,81
Blake Griffin,6-10,251.0,F,82
Myles Turner,6-11,243.0,C,83
Joffrey Lauvergne,6-11,220.0,C,83
Luol Deng,6-9,220.0,F,81
Austin Daye,6-11,220.0,F,83
Gordon Hayward,6-8,226.0,F,80
Josh Howard,6-7,210.0,F,79
Noah Vonleh,6-10,240.0,F,82
Nemanja Nedovic,6-3,192.0,G,75
Isaiah Canaan,6-0,201.0,G,72
John Jenkins,6-4,215.0,G,76
Cameron Payne,6-3,185.0,G,75
Dwayne Bacon,6-6,222.0,G,78
Matt Bonner,6-10,235.0,F,82
Jeff Teague,6-2,186.0,G,74
Brandon Bass,6-8,250.0,F,80
Mindaugas Kuzminskas,6-9,215.0,F,81
Udonis Haslem,6-8,235.0,F,80
Jusuf Nurkic,7-0,280.0,C,84
Tomas Satoransky,6-7,210.0,G,79
Elfrid Payton,6-4,185.0,G,76
Daniel Theis,6-9,215.0,C,81
Grant Hill,6-8,225.0,F,80
Kevin Love,6-10,251.0,F,82
Kawhi Leonard,6-7,230.0,F,79
Malachi Richardson,6-6,205.0,G,78
Solomon Hill,6-7,225.0,F,79
Anderson Varejao,6-10,273.0,F,82
Thaddeus Young,6-8,221.0,F,80
Greivis Vasquez,6-6,217.0,G,78
Bernard James,6-10,240.0,C,82
Devin Booker,6-6,206.0,G,78
Jameer Nelson,6-0,190.0,G,72
Tayshaun Prince,6-9,212.0,F,81
Chris Boucher,6-10,182.0,F,82
Toney Douglas,6-2,195.0,G,74
Delonte West,6-4,180.0,G,76
